run_id,harness,base_harness,self_consistency_samples,dataset_n,llm_calls_per_row,mean_total_tokens,estimated_cost_usd,exact_label_accuracy,monthly_rate_accuracy_tolerance_15pct
matrix_claude-3-5-haiku-20241022_multi_agent_anchor_sc3,multi_agent_anchor_sc3,multi_agent_anchor,3,1,3,78.0,0.0,1.0,1.0
matrix_claude-3-5-sonnet-20241022_multi_agent_anchor_sc3,multi_agent_anchor_sc3,multi_agent_anchor,3,1,3,78.0,0.0,1.0,1.0
matrix_claude-3-haiku-20240307_multi_agent_anchor_sc3,multi_agent_anchor_sc3,multi_agent_anchor,3,1,3,78.0,0.0,1.0,1.0
matrix_gpt-4o-2024-11-20_multi_agent_anchor_sc3,multi_agent_anchor_sc3,multi_agent_anchor,3,1,3,78.0,0.0,1.0,1.0
matrix_gpt-4o-mini-2024-07-18_multi_agent_anchor_sc3,multi_agent_anchor_sc3,multi_agent_anchor,3,1,3,78.0,0.0,1.0,1.0
matrix_meta-llama_Llama-3_1-70B-Instruct_multi_agent_anchor_sc3,multi_agent_anchor_sc3,multi_agent_anchor,3,1,3,78.0,0.0,1.0,1.0
matrix_meta-llama_Llama-3_1-8B-Instruct_multi_agent_anchor_sc3,multi_agent_anchor_sc3,multi_agent_anchor,3,1,3,78.0,0.0,1.0,1.0
matrix_claude-3-5-haiku-20241022_multi_agent_anchor_sc5,multi_agent_anchor_sc5,multi_agent_anchor,5,1,5,130.0,0.0,1.0,1.0
matrix_claude-3-5-sonnet-20241022_multi_agent_anchor_sc5,multi_agent_anchor_sc5,multi_agent_anchor,5,1,5,130.0,0.0,1.0,1.0
matrix_claude-3-haiku-20240307_multi_agent_anchor_sc5,multi_agent_anchor_sc5,multi_agent_anchor,5,1,5,130.0,0.0,1.0,1.0
matrix_gpt-4o-2024-11-20_multi_agent_anchor_sc5,multi_agent_anchor_sc5,multi_agent_anchor,5,1,5,130.0,0.0,1.0,1.0
matrix_gpt-4o-mini-2024-07-18_multi_agent_anchor_sc5,multi_agent_anchor_sc5,multi_agent_anchor,5,1,5,130.0,0.0,1.0,1.0
matrix_meta-llama_Llama-3_1-70B-Instruct_multi_agent_anchor_sc5,multi_agent_anchor_sc5,multi_agent_anchor,5,1,5,130.0,0.0,1.0,1.0
matrix_meta-llama_Llama-3_1-8B-Instruct_multi_agent_anchor_sc5,multi_agent_anchor_sc5,multi_agent_anchor,5,1,5,130.0,0.0,1.0,1.0
multi_agent_anchor_sc3_n1_gold_seeded_2026_05_03,multi_agent_anchor_sc3,multi_agent_anchor,3,1,3,78.0,0.0,1.0,1.0
multi_agent_anchor_sc5_n1_gold_seeded_2026_05_03,multi_agent_anchor_sc5,multi_agent_anchor,5,1,5,130.0,0.0,1.0,1.0
